,cycleway,footway,path,track,pedestrian,Total
User46,4864,2207,11474,24670,64,43279
User33,317,2550,11705,15015,64,29651
User17,975,23167,490,43,1133,25808
User31,897,1064,5405,7379,41,14786
User95,683,961,4490,4132,30,10296
User312,105,1751,942,6790,111,9699
User47,4780,957,1813,737,83,8370
User257,1453,4263,2002,273,57,8048
User213,92,292,658,6195,27,7264
User260,37,1160,2410,3441,21,7069
User258,16,460,1538,4751,18,6783
User54,1441,2326,1741,957,201,6666
User80,160,6057,208,28,113,6566
User48,618,2682,1815,1291,81,6487
User99,576,203,2616,2102,32,5529
User92,754,1647,1828,1077,28,5334
User7,831,2828,903,388,351,5301
User308,40,85,2738,2365,0,5228
User39,857,2673,777,752,126,5185
User264,7,28,517,4428,0,4980
User75,819,746,2005,1157,84,4811
User20,292,970,1650,1642,85,4639
User76,27,518,1958,1917,36,4456
User133,2052,595,1030,691,42,4410
User52,1466,1299,628,705,301,4399
User85,192,376,2560,1266,0,4394
User58,1005,1057,960,1197,70,4289
User1,1083,582,1670,524,149,4008
User43,697,960,1214,901,131,3903
User346,909,381,771,1205,15,3281
User136,313,684,1175,964,99,3235
User56,1023,285,1417,467,17,3209
User173,24,897,522,1716,33,3192
User265,107,512,510,1822,61,3012
User309,62,509,699,1659,19,2948
User9,1290,639,670,321,18,2938
User135,157,1257,331,1154,1,2900
User340,59,479,548,1720,9,2815
User119,155,1376,355,490,271,2647
User6,851,952,350,390,20,2563
User249,8,663,435,1431,23,2560
User212,10,2236,59,7,203,2515
User727,14,483,596,1130,0,2223
User40,45,1502,136,518,2,2203
User97,530,626,572,458,9,2195
User89,145,301,322,1344,19,2131
User371,84,338,1060,587,12,2081
User279,120,274,870,796,8,2068
User196,79,1927,13,4,33,2056
User8,270,813,744,205,14,2046
User489,8,11,317,1686,0,2022
User177,60,300,1356,236,11,1963
User109,73,812,304,756,5,1950
User588,135,551,638,527,29,1880
User810,14,129,223,1457,11,1834
User1712,1,1,775,991,0,1768
User74,22,242,173,1277,20,1734
User1286,79,865,147,613,17,1721
User996,6,323,446,923,0,1698
User221,147,354,510,628,24,1663
User422,171,993,147,262,70,1643
User67,669,661,203,54,26,1613
User51,20,131,376,1029,11,1567
User725,15,104,354,1047,1,1521
User321,10,352,165,977,14,1518
User358,413,272,556,254,12,1507
User239,33,569,580,298,13,1493
User53,248,276,710,240,4,1478
User21,182,278,184,734,6,1384
User1212,3,3,37,1335,0,1378
User174,244,513,310,287,4,1358
User498,9,23,273,1028,1,1334
User30,364,70,325,550,7,1316
User142,333,57,381,510,23,1304
User580,67,511,330,379,6,1293
User107,22,843,310,87,8,1270
User68,28,905,86,215,31,1265
User10,62,48,427,653,3,1193
User65,417,193,468,70,11,1159
User91,82,740,147,67,120,1156
User49,376,334,215,5,184,1114
User90,245,522,204,101,30,1102
User1053,3,973,30,51,34,1091
User241,73,963,14,1,27,1078
User390,22,325,465,225,1,1038
User141,182,373,141,325,6,1027
User164,100,580,32,38,235,985
User360,379,111,235,235,18,978
User115,19,308,240,405,5,977
User339,4,244,316,409,0,973
User734,80,158,429,253,2,922
User179,20,204,530,148,15,917
User300,51,83,453,320,7,914
User171,117,172,405,197,17,908
User176,15,322,292,245,11,885
User266,9,106,386,381,2,884
User1557,19,80,47,729,4,879
User458,40,202,416,197,11,866
User208,139,335,211,137,31,853
User293,53,353,343,93,10,852
User188,244,16,361,226,1,848
User228,396,83,108,242,4,833
User743,25,600,59,27,102,813
User326,4,467,79,245,8,803
User232,68,492,152,58,10,780
User826,6,34,638,94,2,774
User607,166,378,121,80,18,763
User562,19,128,333,265,0,745
User104,39,614,41,32,13,739
User583,33,38,659,2,5,737
User310,6,369,131,207,22,735
User29,324,265,44,43,22,698
User689,16,510,40,54,61,681
User35,1,300,188,143,33,665
User291,63,68,171,358,2,662
User412,57,438,54,98,14,661
User1073,9,91,237,319,0,656
User511,70,202,173,177,12,634
User461,117,291,84,115,16,623
User12,137,440,11,1,31,620
User345,1,15,90,509,0,615
User537,42,228,208,118,17,613
User1170,0,185,227,193,1,606
User619,21,48,373,160,0,602
User302,2,163,209,217,1,592
User1836,0,9,166,400,0,575
User263,0,4,328,241,0,573
User137,11,53,98,407,0,569
User324,8,40,306,213,1,568
User839,3,202,208,145,6,564
User2,44,456,39,18,3,560
User452,101,95,171,113,76,556
User387,8,390,120,22,11,551
User32,10,20,356,163,0,549
User186,28,283,109,117,12,549
User190,30,348,118,10,37,543
